date,index_nav,products_cnts
2012/9/18,1,11
2012/9/19,0.999462336,11
2012/9/20,1.00657332,11
2012/9/21,1.006035773,11
2012/9/24,1.005681063,11
2012/9/25,1.003536174,11
2012/9/26,1.00162421,11
2012/9/27,1.02071249,11
2012/9/28,1.018262975,11
2012/10/8,1.01655918,11
2012/10/9,1.023453827,11
2012/10/10,1.020672126,11
2012/10/11,1.017636675,11
2012/10/12,1.021074122,11
2012/10/15,1.01951043,11
2012/10/16,1.013941234,11
2012/10/17,1.00290358,11
2012/10/18,0.995884796,11
2012/10/19,0.991491713,11
2012/10/22,0.98571814,11
2012/10/23,0.986606818,11
2012/10/24,0.982722045,11
2012/10/25,0.978143793,11
2012/10/26,0.993668349,11
2012/10/29,0.991193573,11
2012/10/30,0.991774538,11
2012/10/31,0.991744839,11
2012/11/1,1.002029341,11
2012/11/2,0.998718582,11
2012/11/5,1.003412423,11
2012/11/6,0.999786364,11
2012/11/7,0.995030889,11
2012/11/8,0.986430584,11
2012/11/9,0.98467863,11
2012/11/12,0.977010534,11
2012/11/13,0.976972893,11
2012/11/14,0.971156156,11
2012/11/15,0.975980065,11
2012/11/16,0.974353674,11
2012/11/19,0.967040645,11
2012/11/20,0.966553564,11
2012/11/21,0.969934577,11
2012/11/22,0.969059864,11
2012/11/23,0.964697907,12
2012/11/26,0.960366076,12
2012/11/27,0.961104158,12
2012/11/28,0.9659114,12
2012/11/29,0.970607573,12
2012/11/30,0.966047149,12
2012/12/3,0.969621023,11
2012/12/4,0.969226378,11
2012/12/5,1.01088972,11
2012/12/6,1.008700344,11
2012/12/7,1.010316658,11
2012/12/10,1.013745268,11
2012/12/11,1.014035964,11
2012/12/12,1.014449092,11
2012/12/13,1.014762667,12
2012/12/14,1.028785993,12
2012/12/17,1.035414839,12
2012/12/18,1.03874922,12
2012/12/19,1.041380467,12
2012/12/20,1.044268987,12
2012/12/21,1.044803687,12
2012/12/24,1.045733328,12
2012/12/25,1.053534646,12
2012/12/26,1.056491014,12
2012/12/27,1.061467527,12
2012/12/28,1.058501238,12
2012/12/31,1.057360191,12
2013/1/4,1.056077568,14
2013/1/7,1.049697132,14
2013/1/8,1.045736751,15
2013/1/9,1.04107996,15
2013/1/10,1.037615711,15
2013/1/11,1.047811724,15
2013/1/14,1.062851867,15
2013/1/15,1.072946848,15
2013/1/16,1.083497506,15
2013/1/17,1.094109107,15
2013/1/18,1.092940183,15
2013/1/21,1.092391323,15
2013/1/22,1.090984833,15
2013/1/23,1.090883495,15
2013/1/24,1.09408971,16
2013/1/25,1.09271392,16
2013/1/28,1.092660049,15
2013/1/29,1.093025551,15
2013/1/30,1.093366211,15
2013/1/31,1.092676515,15
2013/2/1,1.096856783,15
2013/2/4,1.098728591,15
2013/2/5,1.100320165,15
2013/2/6,1.101043552,15
2013/2/7,1.100623373,16
2013/2/8,1.102331603,16
2013/2/18,1.104042266,17
2013/2/19,1.108455778,17
2013/2/20,1.111926543,17
2013/2/21,1.119639244,17
2013/2/22,1.125222918,17
2013/2/25,1.127479096,17
2013/2/26,1.133040645,17
2013/2/27,1.135702431,17
2013/2/28,1.140848306,17
2013/3/1,1.141243059,17
2013/3/4,1.140783326,17
2013/3/5,1.142212983,17
2013/3/6,1.140261687,17
2013/3/7,1.139559216,18
2013/3/8,1.135320796,18
2013/3/11,1.131328626,19
2013/3/12,1.130332771,19
2013/3/13,1.127718127,19
2013/3/14,1.12433626,19
2013/3/15,1.12776619,19
2013/3/18,1.12830801,19
2013/3/19,1.127615235,19
2013/3/20,1.129261405,19
2013/3/21,1.128276178,19
2013/3/22,1.126302093,19
2013/3/25,1.125311717,19
2013/3/26,1.125093312,19
2013/3/27,1.124828548,19
2013/3/28,1.124470255,19
2013/3/29,1.12044674,19
2013/4/1,1.11663719,18
2013/4/2,1.112853478,18
2013/4/3,1.110681744,18
2013/4/8,1.107743701,18
2013/4/9,1.104494123,19
2013/4/10,1.10186827,19
2013/4/11,1.099913776,19
2013/4/12,1.095187869,19
2013/4/15,1.097002947,19
2013/4/16,1.099151531,19
2013/4/17,1.098094442,19
2013/4/18,1.099552521,19
2013/4/19,1.110570801,19
2013/4/22,1.116849058,20
2013/4/23,1.123776537,19
2013/4/24,1.129594707,19
2013/4/25,1.135732027,19
2013/4/26,1.129760941,18
2013/5/2,1.132307617,18
2013/5/3,1.128908719,18
2013/5/6,1.124925916,18
2013/5/7,1.121824733,18
2013/5/8,1.120357505,18
2013/5/9,1.116874679,19
2013/5/10,1.115752996,19
2013/5/13,1.115756607,19
2013/5/14,1.116146047,19
2013/5/15,1.11725656,19
2013/5/16,1.118254564,19
2013/5/17,1.118563102,19
2013/5/20,1.115522176,19
2013/5/21,1.109488162,18
2013/5/22,1.105018028,18
2013/5/23,1.101535815,18
2013/5/24,1.096764752,18
2013/5/27,1.095219928,18
2013/5/28,1.09382836,18
2013/5/29,1.092953947,18
2013/5/30,1.091259092,18
2013/5/31,1.089413742,18
2013/6/3,1.093474598,18
2013/6/4,1.096788355,18
2013/6/5,1.10062773,18
2013/6/6,1.104386502,18
2013/6/7,1.107521826,19
2013/6/13,1.119410991,19
2013/6/14,1.130459312,19
2013/6/17,1.132943104,19
2013/6/18,1.136052383,19
2013/6/19,1.139313541,19
2013/6/20,1.143207859,19
2013/6/21,1.149819012,19
2013/6/24,1.160955838,19
2013/6/25,1.172397913,19
2013/6/26,1.18564488,19
2013/6/27,1.197832579,19
2013/6/28,1.210702427,19
2013/7/1,1.207379856,18
2013/7/2,1.203992485,18
2013/7/3,1.200755009,18
2013/7/4,1.197665987,18
2013/7/5,1.194191731,18
2013/7/8,1.19981859,18
2013/7/9,1.204843619,19
2013/7/10,1.210211743,19
2013/7/11,1.214667233,19
2013/7/12,1.220405775,19
2013/7/15,1.22112611,19
2013/7/16,1.222473642,19
2013/7/17,1.224257199,19
2013/7/18,1.225800774,19
2013/7/19,1.227762165,19
2013/7/22,1.222193488,19
2013/7/23,1.216967428,19
2013/7/24,1.211789238,19
2013/7/25,1.207083273,19
2013/7/26,1.201850377,19
2013/7/29,1.200898049,19
2013/7/30,1.199203841,19
2013/7/31,1.197647653,19
2013/8/1,1.195836415,20
2013/8/2,1.194250037,19
2013/8/5,1.192618214,19
2013/8/6,1.191109351,19
2013/8/7,1.189591345,19
2013/8/8,1.187967953,19
2013/8/9,1.186607249,20
2013/8/12,1.185622891,21
2013/8/13,1.184737388,21
2013/8/14,1.183196592,21
2013/8/15,1.181656352,21
2013/8/16,1.179807099,21
2013/8/19,1.178100733,21
2013/8/20,1.175045587,21
2013/8/21,1.172737943,21
2013/8/22,1.170239447,21
2013/8/23,1.168169839,21
2013/8/26,1.159957243,20
2013/8/27,1.152221538,21
2013/8/28,1.144761145,21
2013/8/29,1.136334809,21
2013/8/30,1.12801397,21
2013/9/2,1.124682684,19
2013/9/3,1.121448884,19
2013/9/4,1.118331742,21
2013/9/5,1.115224851,21
2013/9/6,1.112500251,21
2013/9/9,1.119584975,21
2013/9/10,1.124675051,21
2013/9/11,1.130373249,21
2013/9/12,1.136808405,21
2013/9/13,1.143214683,21
2013/9/16,1.141022386,20
2013/9/17,1.139647254,20
2013/9/18,1.138584414,20
2013/9/23,1.139177417,20
2013/9/24,1.139330044,20
2013/9/25,1.139668812,20
2013/9/26,1.139840754,20
2013/9/27,1.140381609,20
2013/9/30,1.142330749,20
2013/10/8,1.142044247,20
2013/10/9,1.141227337,20
2013/10/10,1.140811302,20
2013/10/11,1.14001995,20
2013/10/14,1.137115677,19
2013/10/15,1.13381256,19
2013/10/16,1.130441347,19
2013/10/17,1.127239842,19
2013/10/18,1.123737021,19
2013/10/21,1.126381996,19
2013/10/22,1.129098302,19
2013/10/23,1.132326382,19
2013/10/24,1.135695119,19
2013/10/25,1.139050638,19
2013/10/28,1.138796653,19
2013/10/29,1.137777808,19
2013/10/30,1.136450267,19
2013/10/31,1.135490738,19
2013/11/1,1.13386799,19
2013/11/4,1.136845062,19
2013/11/5,1.139645195,19
2013/11/6,1.141457459,19
2013/11/7,1.143820366,19
2013/11/8,1.146068948,19
2013/11/11,1.150249579,19
2013/11/12,1.153820522,19
2013/11/13,1.15793031,19
2013/11/14,1.161293032,20
2013/11/15,1.165009157,19
2013/11/18,1.16639309,19
2013/11/19,1.166462199,20
2013/11/20,1.165114888,20
2013/11/21,1.164656148,20
2013/11/22,1.164309162,20
2013/11/25,1.163677477,20
2013/11/26,1.162854426,20
2013/11/27,1.162980014,20
2013/11/28,1.162634952,20
2013/11/29,1.162168189,20
2013/12/2,1.162749947,20
2013/12/3,1.164351752,20
2013/12/4,1.165416941,20
2013/12/5,1.166240996,20
2013/12/6,1.169036161,20
2013/12/9,1.16823592,20
2013/12/10,1.167089425,20
2013/12/11,1.165840243,20
2013/12/12,1.164657731,20
2013/12/13,1.166988968,20
2013/12/16,1.169845757,19
2013/12/17,1.17247312,20
2013/12/18,1.17553593,20
2013/12/19,1.178486232,20
2013/12/20,1.182379219,20
2013/12/23,1.182549748,20
2013/12/24,1.181147534,20
2013/12/25,1.179678558,20
2013/12/26,1.179482012,20
2013/12/27,1.178998943,20
2013/12/30,1.179178758,20
2013/12/31,1.181421876,21
2014/1/2,1.18202184,22
2014/1/3,1.183996413,22
2014/1/6,1.188414022,21
2014/1/7,1.192917432,21
2014/1/8,1.196046954,21
2014/1/9,1.200194651,21
2014/1/10,1.204090478,21
2014/1/13,1.203247953,21
2014/1/14,1.202214225,21
2014/1/15,1.201911548,21
2014/1/16,1.202207264,21
2014/1/17,1.204681406,21
2014/1/20,1.210312879,21
2014/1/21,1.215281484,21
2014/1/22,1.216977382,22
2014/1/23,1.216307862,22
2014/1/24,1.215135545,22
